OG0000033	+18*
OG0000039	+25*
OG0000061	+25*
OG0000068	+19*
OG0000070	+33*
OG0000077	+22*
OG0000087	+28*
OG0000118	+29*
OG0000123	+15*
OG0000139	+23*
OG0000140	+9*
OG0000144	+14*
OG0000161	+14*
OG0000179	+16*
OG0000181	+14*
OG0000184	+16*
OG0000185	+19*
OG0000194	+22*
OG0000201	+35*
OG0000205	+19*
OG0000215	+27*
OG0000216	+33*
OG0000239	+21*
OG0000245	+12*
OG0000249	+25*
OG0000254	+24*
OG0000260	+27*
OG0000268	+29*
OG0000296	+17*
OG0000310	+8*
OG0000315	+11*
OG0000316	+12*
OG0000326	+10*
OG0000328	+15*
OG0000329	+8*
OG0000338	+25*
OG0000340	+24*
OG0000350	+10*
OG0000354	+17*
OG0000387	+7*
OG0000396	+11*
OG0000398	+11*
OG0000400	+40*
OG0000420	+25*
OG0000423	+13*
OG0000456	+15*
OG0000460	+8*
OG0000474	+10*
OG0000501	+15*
OG0000503	+12*
OG0000507	+14*
OG0000516	+10*
OG0000529	+20*
OG0000531	+32*
OG0000558	+50*
OG0000579	+14*
OG0000596	+9*
OG0000602	+8*
OG0000626	+21*
OG0000656	+11*
OG0000658	+20*
OG0000672	+27*
OG0000684	+9*
OG0000691	+27*
OG0000692	+10*
OG0000721	+22*
OG0000733	+13*
OG0000741	+37*
OG0000873	+23*
OG0000930	+21*
OG0000943	+10*
OG0000947	+10*
OG0000992	+38*
OG0001007	+17*
OG0001039	+11*
OG0001045	+19*
OG0001170	+32*
OG0001175	+10*
OG0001249	+38*
OG0001333	+9*
OG0001429	+41*
OG0001470	+27*
OG0001561	+10*
OG0001635	+22*
OG0001689	+15*
OG0001768	+7*
OG0001799	+8*
OG0001832	+6*
OG0001893	+10*
OG0002006	+10*
OG0002062	+6*
OG0002063	+17*
OG0002065	+16*
OG0002078	+7*
OG0002348	+16*
OG0002353	+21*
OG0002440	+11*
OG0002446	+22*
OG0003395	+7*
OG0004020	+11*
