,ADIG,AVAG,AQUE,ACAL,BPLA,BGLA,BFLO,CELE,CTEL,CFAR,CINT,CGIG,CVIR,DRER,DPUL,DMEL,EMUL,EPAL,HROB,HSAP,LLUY,LANA,LGIG,MLIG,MYES,MLEI,MPHI,NGEN,OBIM,PYES,PAUS,SKOW,SMAN,SMED,SPUR,TKIT,TADH,Total
OG0000000,340,9,58,79,49,111,0,1,93,1,16,141,127,75,28,0,51,138,9,8,126,45,28,385,142,83,57,785,136,12,143,128,29,16,310,426,5,4190
OG0000001,87,0,1,42,135,132,410,38,107,96,46,219,239,109,7,33,1,41,17,50,56,146,46,13,129,6,204,46,9,82,77,87,1,27,99,1,10,2849
OG0000002,102,60,0,49,80,57,221,52,68,60,34,83,110,183,32,30,10,126,44,79,44,101,57,14,70,2,93,44,40,61,28,118,14,71,55,0,41,2333
OG0000003,84,114,8,47,57,51,99,47,63,53,51,73,83,164,45,99,26,71,88,94,53,77,57,28,62,22,58,63,37,51,42,61,26,49,48,15,13,2179
OG0000004,81,14,104,85,91,61,252,7,86,40,56,131,113,69,6,25,0,97,74,20,82,68,65,76,49,0,99,17,13,43,30,27,0,1,42,0,0,2024
OG0000005,63,123,2,58,40,63,144,5,39,32,74,31,38,140,134,168,5,100,38,85,49,53,41,29,39,15,44,66,54,35,32,48,7,30,71,0,22,2017
OG0000006,36,33,1,71,30,54,73,41,27,49,64,49,105,32,14,47,4,89,11,19,36,150,36,52,73,31,64,98,97,47,63,59,0,11,38,0,0,1704
OG0000007,51,33,13,45,40,59,263,10,72,7,59,71,79,106,7,24,6,40,22,45,9,67,35,28,64,22,34,52,32,26,30,66,9,35,34,0,13,1608
OG0000008,71,25,102,16,27,23,231,8,21,30,8,49,72,56,6,6,5,71,23,16,23,142,57,31,45,6,41,35,22,27,27,110,5,3,144,1,3,1588
OG0000009,81,66,7,45,27,43,76,40,57,19,17,49,62,133,18,49,5,115,33,48,37,100,26,16,43,17,22,33,25,24,23,66,22,64,46,0,30,1584
OG0000010,27,17,0,39,32,39,238,37,55,41,51,52,54,71,20,15,1,40,25,23,13,139,32,105,42,1,56,45,13,33,33,69,1,43,79,0,2,1583
OG0000011,49,74,17,30,45,35,97,27,48,48,37,61,80,68,10,37,15,28,37,25,33,32,28,119,82,36,61,83,26,65,25,33,13,30,36,4,7,1581
OG0000012,26,29,60,17,84,44,45,39,65,38,32,63,123,169,9,23,7,30,31,19,58,58,28,16,89,10,26,33,30,39,22,24,10,21,37,1,14,1469
OG0000013,38,1,2,45,114,81,86,1,65,56,5,99,192,35,6,16,0,8,12,11,61,89,43,3,58,0,134,20,18,49,37,20,0,2,60,0,0,1467
OG0000014,30,25,0,50,83,79,37,21,31,52,37,70,111,45,42,15,22,32,10,14,26,65,35,33,104,8,38,52,33,61,32,35,9,18,50,18,29,1452
OG0000015,53,28,0,37,31,43,76,15,48,36,27,53,59,37,16,27,9,59,18,13,74,71,18,47,84,0,68,69,30,30,33,60,8,44,44,2,1,1368
OG0000016,28,0,160,10,44,13,158,0,55,52,2,46,55,75,4,5,2,52,8,18,5,85,22,11,55,22,23,21,13,37,24,13,4,7,205,0,30,1364
OG0000017,56,7,41,19,48,20,112,6,48,44,46,90,110,26,0,0,3,56,14,5,32,97,45,18,77,32,66,27,13,39,72,19,2,17,29,2,13,1351
OG0000018,172,0,2,0,9,0,0,0,15,0,11,93,90,114,2,0,0,70,0,0,10,43,8,0,34,0,1,372,0,1,59,102,20,0,106,0,0,1334
OG0000019,57,5,27,71,58,69,65,17,42,36,35,79,77,54,0,0,0,37,18,13,44,68,28,11,63,2,76,41,51,41,29,2,0,9,2,1,0,1228
OG0000020,9,21,0,63,28,26,147,43,44,45,13,52,68,33,34,57,4,34,19,14,9,101,25,22,47,3,50,32,18,37,13,35,5,11,42,0,23,1227
OG0000021,10,37,1,35,35,35,38,6,40,57,32,56,65,53,16,25,4,19,17,13,27,89,36,65,84,3,37,62,29,54,34,20,8,29,30,0,14,1215
OG0000022,30,17,20,27,21,32,78,31,59,33,10,29,35,17,16,26,0,81,50,9,77,62,28,42,41,29,32,86,7,19,34,42,1,20,43,0,12,1196
OG0000023,41,55,0,29,31,26,100,28,52,25,17,47,58,31,15,29,5,40,27,18,33,49,24,30,50,0,45,43,31,25,28,49,6,19,35,0,0,1141
OG0000024,27,44,5,34,23,42,33,70,22,24,27,47,47,116,15,42,8,37,26,29,20,67,21,36,44,2,24,29,34,21,17,32,14,10,31,0,3,1123
OG0000025,5,22,6,29,20,26,15,1,32,14,11,71,52,123,0,0,30,13,49,65,19,5,22,55,63,3,18,4,209,14,1,5,31,79,5,0,1,1118
OG0000026,57,42,43,52,23,57,60,12,23,32,10,38,35,43,11,40,2,33,17,11,42,42,17,25,41,9,42,17,20,20,29,46,5,34,51,9,27,1117
OG0000027,16,9,25,65,27,32,105,1,50,52,30,37,43,28,26,8,0,18,1,13,5,79,13,27,74,8,102,8,34,36,19,73,0,8,40,0,0,1112
OG0000028,58,50,10,23,27,26,43,31,32,29,19,37,40,68,18,42,9,51,31,34,36,34,41,5,34,9,28,38,26,25,19,34,11,18,35,4,7,1082
OG0000029,32,46,20,28,28,26,45,28,29,26,31,28,27,91,16,25,15,34,24,43,31,45,28,29,31,12,28,27,19,22,18,41,13,29,23,3,19,1060
OG0000030,26,21,2,29,42,46,29,5,82,40,49,39,47,22,82,3,8,22,4,6,43,90,18,6,49,0,32,11,6,46,11,0,12,7,36,18,14,1003
OG0000031,3,34,6,41,75,118,19,2,30,41,24,69,113,7,4,8,2,2,5,6,39,53,23,31,74,0,61,27,28,28,6,2,1,11,8,1,0,1002
OG0000032,17,39,16,23,20,25,46,18,24,19,24,38,39,78,13,36,18,25,13,24,18,47,23,54,46,15,13,26,30,22,29,26,17,27,30,2,17,997
OG0000033,97,7,33,26,10,23,79,35,17,11,12,42,43,55,38,23,4,77,23,14,13,66,16,10,39,5,22,16,27,13,10,34,5,10,20,1,8,984
OG0000034,65,7,58,8,22,39,36,5,4,17,49,49,65,78,10,13,0,41,11,20,8,32,14,12,28,18,16,20,32,12,15,28,1,2,94,0,55,984
OG0000035,26,28,1,35,27,30,51,18,40,32,16,37,51,64,22,35,9,24,28,42,37,27,39,8,29,3,31,32,20,28,21,28,11,21,22,0,10,983
OG0000036,33,7,0,2,183,5,28,0,6,22,2,36,33,0,78,5,0,11,31,0,72,1,5,2,43,22,125,51,4,22,0,7,0,4,13,121,0,974
OG0000037,154,0,52,2,6,0,0,3,19,0,0,19,26,51,75,0,0,49,0,0,1,9,8,0,0,0,43,230,0,0,27,99,0,1,46,16,0,936
OG0000038,106,29,0,15,65,10,50,0,7,40,2,50,132,32,1,0,0,29,6,4,5,73,32,0,63,3,49,26,2,35,27,15,0,0,1,0,5,914
OG0000039,0,14,0,7,143,13,59,0,8,44,5,61,117,60,11,0,2,0,6,23,3,33,4,2,49,0,169,3,2,42,2,14,3,1,10,0,0,910
OG0000040,133,1,17,4,50,17,15,0,25,2,3,69,137,31,29,2,0,115,1,0,18,29,20,0,28,0,14,82,9,1,22,22,0,0,8,0,2,906
OG0000041,72,0,4,12,9,4,7,1,153,0,0,5,6,0,4,0,0,20,31,0,20,1,19,5,16,114,110,79,21,11,1,11,2,0,157,0,0,895
OG0000042,37,22,5,28,15,31,37,15,12,18,23,37,67,80,12,33,7,27,23,21,15,49,14,57,39,5,13,26,17,13,14,15,5,25,22,2,8,889
OG0000043,44,69,22,12,13,21,44,45,20,16,24,21,20,19,31,15,1,71,3,3,22,47,14,20,22,10,16,38,11,17,45,36,1,23,26,1,6,869
OG0000044,37,3,64,14,18,5,118,4,48,10,63,17,12,44,14,14,1,21,8,26,48,51,16,5,6,18,15,50,21,5,28,19,3,1,36,0,0,863
OG0000045,31,16,0,15,24,19,60,39,34,11,10,32,36,77,14,24,7,48,21,24,26,45,15,21,28,0,21,50,17,13,11,37,5,18,8,0,0,857
OG0000046,11,18,2,20,22,48,28,30,50,19,7,31,35,25,8,20,5,25,33,4,37,14,23,11,41,8,26,41,19,20,25,55,4,36,19,2,13,835
OG0000047,75,0,2,5,21,44,155,33,19,9,41,16,12,28,36,6,2,55,5,10,42,22,15,14,8,2,7,14,7,11,16,29,3,4,43,1,8,820
OG0000048,23,4,6,10,47,27,53,7,22,20,19,53,54,37,21,31,1,20,9,10,39,23,21,2,36,11,29,39,16,18,21,27,0,5,38,0,4,803
OG0000049,102,6,1,9,4,7,83,0,111,30,8,9,9,25,1,0,1,149,12,5,5,41,4,5,23,0,3,5,2,11,28,3,1,1,90,2,1,797
OG0000050,54,9,2,23,39,24,74,0,17,24,24,43,44,19,5,6,0,35,3,5,13,56,11,6,27,8,36,19,10,14,43,22,0,0,60,0,15,790
