	% of divergence bins:
Rclass	[0;1[	[1;2[	[2;3[	[3;4[	[4;5[	[5;6[	[6;7[	[7;8[	[8;9[	[9;10[	[10;11[	[11;12[	[12;13[	[13;14[	[14;15[	[15;16[	[16;17[	[17;18[	[18;19[	[19;20[	[20;21[	[21;22[	[22;23[	[23;24[	[24;25[	[25;26[	[26;27[	[27;28[	[28;29[	[29;30[	[30;31[	[31;32[	[32;33[	[33;34[	[34;35[	[35;36[	[36;37[	[37;38[	[38;39[	[39;40[	[40;41[	[41;42[	[42;43[	[43;44[	[44;45[	[45;46[	[46;47[	[47;48[	[48;49[	[49;50[

RC	1490	12092	29760	24472	14633	10805	9777	11435	15152	21649	29859	34469	40498	33300	34884	37706	39677	36138	26099	25432	24130	19534	14662	11766	9765	13532	12758	8344	3645	1372	1546	985	380	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unknown	8459	20430	66608	149590	248880	485415	613095	541852	453885	401386	413416	384396	434054	481778	458711	443977	436382	396828	356851	303682	272901	219310	181832	133199	96999	80499	47485	27897	25317	11326	12303	7831	6550	3229	2848	219	176	0	0	0	0	0	0	0	0	0	0	0	0	0
Retro	22028	42174	124101	243179	299455	323159	317333	306644	351579	381870	462579	498640	522471	520337	500183	487766	473364	433910	390546	354243	314595	247799	179020	134637	94104	65792	46256	21476	15764	10059	5460	3957	2842	1250	360	873	0	0	0	284	0	0	0	0	0	0	0	0	0	0
nonLTR	420	427	1151	895	2109	2280	3075	4625	5778	7022	10102	13152	15945	18524	17975	15112	18138	13918	12957	8567	4966	4968	2703	1772	1346	472	610	67	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SINE	108000	170152	113096	83125	88956	85908	93242	154833	265219	370783	465039	496003	532454	526592	562291	575646	545444	496133	480687	412269	350703	278647	223005	177121	135218	108933	84923	69455	47092	36417	24682	13625	8428	2688	1079	427	164	0	0	0	0	0	0	0	0	0	0	0	0	0
LINE?	0	0	0	157	252	938	454	0	0	0	39	192	121	0	118	155	0	0	383	604	1179	524	377	413	1032	0	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINE	1107797	2142761	2876627	3375196	4324168	5974797	4958729	5583363	5471607	5126611	4994437	4540093	4147938	3991289	3902351	3649007	3458892	3124638	2948082	2669390	2429435	2115863	1841712	1765042	1475846	1362827	1335919	1161558	1058212	1012533	887908	635998	442589	259892	146878	94794	41763	20123	5728	815	1286	164	81	0	0	0	0	0	0	0
LTR	41953	200698	363715	412547	556715	746641	865325	973296	1003829	1017287	907376	855459	811632	780675	752477	713760	671649	651523	592353	532394	497720	405816	346200	309792	260531	237233	204236	200924	195440	187493	185335	166720	199255	149333	142653	80089	48531	14550	4408	1216	415	0	0	0	0	0	0	0	0	0
DNA	336597	595275	1689907	3063707	3950528	4807229	5721969	6195050	6562209	6531501	6329212	6048377	5787994	5471037	5181932	4809114	4467716	4019304	3631833	3112188	2710924	2253317	1778624	1427700	1110824	962318	754820	604283	465343	345618	270184	203497	146596	104554	65424	39312	17637	8819	4304	2195	1125	674	386	110	0	0	0	0	0	0
