		% of divergence bins:
Rclass	Rfam	[0;1[	[1;2[	[2;3[	[3;4[	[4;5[	[5;6[	[6;7[	[7;8[	[8;9[	[9;10[	[10;11[	[11;12[	[12;13[	[13;14[	[14;15[	[15;16[	[16;17[	[17;18[	[18;19[	[19;20[	[20;21[	[21;22[	[22;23[	[23;24[	[24;25[	[25;26[	[26;27[	[27;28[	[28;29[	[29;30[	[30;31[	[31;32[	[32;33[	[33;34[	[34;35[	[35;36[	[36;37[	[37;38[	[38;39[	[39;40[	[40;41[	[41;42[	[42;43[	[43;44[	[44;45[	[45;46[	[46;47[	[47;48[	[48;49[	[49;50[

LTR	LTR	23079	71762	142179	169348	235622	311464	399421	542386	664813	693965	652371	621130	598727	598537	577659	555387	505074	480688	432015	375106	346568	262619	206572	154829	117178	88078	55985	45735	25691	23489	19424	10397	8594	3990	2064	1906	1679	985	0	0	0	0	0	0	0	0	0	0	0	0
SINE	tRNA-Core-L2	852	123	520	1921	1832	3256	6231	4973	9373	10290	19591	23140	29564	32665	36253	36309	35113	38646	35543	30418	30216	23559	21456	20149	17558	14049	13264	11094	10425	6008	3082	3199	1083	789	106	31	164	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	hAT	360	251	1953	2361	13820	26859	46365	42823	54299	42131	32317	23423	21369	14982	16262	12545	14293	11455	10445	5457	4902	3266	959	2106	941	1217	1080	1131	421	124	0	113	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SINE	tRNA-Core	64423	101353	53599	21966	11711	6561	11245	11592	25278	35494	46090	49389	57316	57850	71615	75391	73599	74350	66907	57878	45210	40917	26528	26592	21858	15160	13566	10230	6687	5746	4038	2067	1555	160	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINE	CR1	937130	1621927	1869882	1669634	2105997	3384948	2197791	2650702	2384419	2069865	1889291	1563827	1147538	948662	824338	775471	653240	560572	536156	480476	448243	442491	332609	289798	252953	184872	171623	130861	126640	112058	120983	99427	89274	65691	47541	33165	7617	3727	509	0	0	0	0	0	0	0	0	0	0	0
DNA	Sola-2	540	542	2394	3717	6605	13886	32117	59508	87226	118571	117050	92533	85152	77675	91491	88053	73525	55411	36151	28015	23032	15220	12915	8072	4963	2120	1014	1910	2125	908	163	31	0	0	155	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINE	L2	23883	91881	183316	397299	666938	789465	788614	783283	821757	868232	862176	748694	698877	620656	611595	548439	591995	628332	650264	671115	643893	550356	532764	611472	537294	546582	539804	505198	489716	481371	351992	203168	131206	65605	40034	22983	16813	10570	3498	324	255	0	0	0	0	0	0	0	0	0
LINE	R1-LOA	44	783	3107	8319	7172	4500	3448	2477	1598	2815	2018	1842	2190	3797	3840	4224	2643	366	4897	3038	1735	1645	2502	510	455	522	962	345	0	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINE	RTE-BovB	16244	29656	65060	115718	213525	388823	522869	692619	764370	794036	910821	924686	998715	1112844	1248488	1086403	1069834	922179	854089	800374	718972	605441	540398	509886	377434	365429	401409	337448	264624	274085	293010	227979	137678	68289	32426	21059	7972	1749	929	192	0	0	0	0	0	0	0	0	0	0
LTR	Gypsy-Troyka	0	1208	3187	20986	11966	7216	2490	2052	701	329	0	71	0	0	104	423	0	0	118	0	203	949	308	103	75	2362	2177	2660	3045	4052	3031	2427	1631	1151	0	348	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINE	L1	1394	1755	4931	12774	14377	18040	17992	15643	14445	15067	20837	14668	21282	18183	25486	20654	15789	17018	13088	10875	9061	6359	3781	2643	2452	659	1023	309	0	310	184	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	Kolobok-T2	1120	19293	28186	44826	52425	27109	26260	26573	32135	47613	31225	21934	19219	15209	11485	17918	14897	24503	27220	28396	23413	16873	13044	8795	7043	4740	3607	2482	390	285	731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	hAT-Tip100	5201	35142	111409	226694	194128	201759	232608	179825	168962	190923	227219	259102	279358	259216	236737	223307	202722	160499	128643	88092	69807	51525	34054	30131	26815	17176	13791	10733	5512	4233	3787	3314	3448	416	541	329	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	Zator	2225	16340	51503	30257	62006	93002	107424	54496	76860	82248	78406	82254	80058	81948	85532	76429	56715	43462	39001	29420	20402	17036	14915	10727	10412	6104	4006	4359	2897	3265	679	869	718	604	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SINE	tRNA-Deu-L2	221	110	1120	1617	1846	5130	6146	8025	11827	16501	25650	32076	53269	54092	68417	77432	76236	68956	76161	56502	47968	34688	28735	19034	13475	10058	8761	5376	3259	2070	655	531	448	100	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SINE	tRNA-Deu	29	0	131	407	424	592	1528	3875	5730	13960	27651	32209	37375	41525	40643	30502	27969	21436	16872	16976	9761	7016	3914	4445	3240	3342	1533	1156	705	306	408	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LTR	Copia	1107	39609	17175	11967	41707	54018	46709	34734	25502	22626	17657	13147	7161	5310	10343	9503	7881	8530	15455	18487	15947	19092	8269	6281	5006	3328	1774	2664	2753	4164	1945	1031	980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SINE	MIR	1668	519	3278	6989	7824	18094	26028	64505	145396	215029	269037	280384	275553	263161	256215	258364	226639	207194	197528	167801	142744	114744	94357	68672	50788	39759	29755	26437	16393	11304	7984	3949	3108	1048	691	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	hAT-Tag1	14594	37247	165357	353183	460277	284573	103766	55532	31090	21591	12414	8818	6991	5405	10708	9064	10393	5833	4235	5464	2460	1979	1663	930	259	43	787	115	91	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	PiggyBac	4295	21871	18505	19843	19544	21435	13679	11968	20004	9506	15080	15763	11815	7564	3261	3385	2117	2521	2256	2000	1146	2557	3619	2668	2669	1774	1584	1744	964	1773	1245	344	179	421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SINE	tRNA-RTE	28	108	111	286	147	660	847	1047	2528	3157	7764	12068	16752	23501	35436	41276	51079	43501	46464	44742	34667	28873	20390	12121	8793	7045	2991	2339	1327	1069	257	129	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINE	RTE-RTE	827	17530	43768	86946	39008	33023	25451	12820	7184	5537	3125	5544	4288	6763	7143	9396	9358	10002	7566	5098	8331	5710	3996	3077	521	506	1872	158	622	863	516	862	1825	1816	1177	423	607	0	0	0	0	0	0	0	0	0	0	0	0	0
LINE	Jockey	95	61	931	1803	8899	17843	21311	27200	25546	19613	29565	46756	41113	50906	41297	55640	51869	48057	56289	41036	31763	28047	36087	21400	15869	11892	6952	5747	6340	4962	3548	4978	3621	3340	2106	1869	231	366	0	0	0	0	0	0	0	0	0	0	0	0
DNA	Ginger	287	591	4366	17216	88803	106301	47859	18332	12275	10111	4595	2105	1374	2022	2076	2056	2266	3552	5874	6279	4332	2145	3450	4820	1169	650	23	257	340	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LTR	Gypsy	17338	82809	179406	163799	227901	304235	340539	319110	234816	219597	168722	144289	127204	96051	77412	70586	67314	67373	63934	67467	78736	82532	90479	108759	115908	124463	124846	135271	145455	135566	131468	129988	162756	128857	124290	73548	42161	13502	4408	524	415	0	0	0	0	0	0	0	0	0
DNA	hAT-Blackjack	11571	22156	40046	58424	79023	88252	115492	91940	92292	70950	70715	71855	73681	89143	87276	61983	54602	46360	34299	26271	26354	20953	12788	9073	6016	5255	3831	2148	2045	1522	2182	2113	1019	1318	340	348	177	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	hAT-hAT5	238	916	5999	15002	20626	7107	1784	972	4814	5797	6244	9041	11527	14748	14665	13169	12133	7136	9026	5315	2769	3565	1670	968	764	536	1083	1320	3763	1509	3069	2235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SINE	tRNA-L2	37769	59296	41451	30316	23222	11415	9794	9178	7464	10812	10945	8862	8620	5680	4897	4926	4204	1923	2883	849	1651	916	654	561	332	148	302	337	55	96	63	60	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	MULE-MuDR	2185	7857	22001	64259	104514	145071	200435	202652	183952	135292	107195	67303	57324	32047	35516	29830	24394	21282	22617	19659	23528	20217	21747	23889	21962	22075	23272	16314	12694	9047	5867	3078	2640	1406	768	226	124	286	16	0	0	0	0	0	0	0	0	0	0	0
LINE	R1	0	0	0	0	0	0	0	41	0	0	0	174	80	0	489	235	214	0	1000	823	374	1566	693	1842	4295	5485	9955	9117	9236	7735	9139	8229	7521	8217	5441	4370	3263	2092	726	299	1031	164	81	0	0	0	0	0	0	0
DNA	PIF-ISL2EU	74	258	485	2303	1925	10181	11497	12304	9129	11994	3397	4810	3163	3178	4856	2234	2242	2423	1407	837	1178	1106	261	378	552	130	286	691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nonLTR	nonLTR	420	427	1151	895	2109	2280	3075	4625	5778	7022	10102	13152	15945	18524	17975	15112	18138	13918	12957	8567	4966	4968	2703	1772	1346	472	610	67	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	TcMar-Fot1	3018	12640	13250	9932	34940	62819	94008	102942	109527	101831	110299	102680	111263	94125	77530	66106	58191	44427	36048	28960	23456	21466	16264	12571	5472	7247	5535	8250	13678	12338	8808	8141	8396	6887	3552	1768	1200	48	0	0	0	0	0	0	0	0	0	0	0	0
DNA	TcMar-Pogo	737	2856	12250	23513	21421	24793	41406	50502	60773	64545	70516	79046	91126	88696	87281	97647	97636	80422	77801	62338	57124	42059	31833	24778	19048	12823	8927	7268	10038	5354	3979	1325	513	760	641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	TcMar-Tigger	1251	2857	7640	50742	151549	248734	174326	134669	170387	135539	77152	42434	34987	22111	15077	18914	20503	24858	38468	23322	35051	24301	18665	16565	8788	8765	7525	1778	2002	1631	796	181	191	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	TcMar-Tc1	1764	2078	6974	10563	8706	15912	23405	22409	34005	36543	55770	65717	69590	79949	91795	91587	97090	97418	103057	104912	118855	112577	112072	117431	109177	109291	108585	93633	87609	71010	63910	42676	42501	27421	20998	12817	9373	4926	3922	2195	1125	674	386	110	0	0	0	0	0	0
DNA	CMC-Chapaev	797	531	3294	2890	8667	12795	10308	4776	4070	6383	4819	7553	9777	5231	6418	3947	3942	4932	4058	3077	1849	867	880	400	591	553	128	102	265	0	0	0	0	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINE	Rex-Babar	4695	25184	100703	189823	205752	212058	187278	148365	89394	63973	40155	32482	29000	19288	14867	18093	16805	16770	18055	15442	12372	16915	10779	16867	18794	25156	18680	10441	10318	15269	16786	20556	22597	13756	4033	6496	2474	1139	0	0	0	0	0	0	0	0	0	0	0	0
DNA	Maverick	441	401	787	3377	5986	24440	96090	147434	311756	350825	297900	245724	224996	216748	194151	144475	108602	78665	91062	75990	64363	66926	44058	46502	50097	69902	61724	43955	28660	27077	23947	15073	15377	12472	6157	3760	805	0	0	0	0	0	0	0	0	0	0	0	0	0
LINE	Penelope	1558	6244	33348	48506	41525	37459	32584	29854	36186	68324	99221	97595	90410	99579	96281	115073	109060	106346	85665	61098	65446	70507	65365	56632	53498	47114	45904	56572	49013	40970	26176	20347	7010	7185	4099	473	452	0	0	0	0	0	0	0	0	0	0	0	0	0
SINE	tRNA-V	0	0	0	546	0	147	167	234	217	401	407	751	1104	1091	978	2540	3648	4617	6504	7550	8754	8068	7161	8182	5962	7390	5296	3060	1580	1483	1166	813	283	67	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	Crypton-V	0	0	0	0	46	0	0	0	37	291	859	941	1117	2328	4330	3184	6741	4274	4813	9048	10758	13828	18264	13516	12775	8556	4517	1054	1744	532	119	464	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	MuLE-MuDR	1698	12027	20886	44873	28602	14851	18500	12554	8716	5447	10728	9248	8385	12142	8681	8697	7616	7480	8297	7416	5685	5954	2928	2094	1555	1544	630	513	168	115	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Retro	Retro	22028	42174	124101	243179	299455	323159	317333	306644	351579	381870	462579	498640	522471	520337	500183	487766	473364	433910	390546	354243	314595	247799	179020	134637	94104	65792	46256	21476	15764	10059	5460	3957	2842	1250	360	873	0	0	0	284	0	0	0	0	0	0	0	0	0	0
SINE	SINE	2597	7825	11961	17768	38011	33698	20843	28615	36197	41062	44432	49864	43357	42062	41129	43269	42490	29597	25507	24120	24503	15271	15156	14115	10504	9919	8000	8510	5803	7788	6644	2439	1303	524	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	hAT-hATm	102	54	343	929	512	1374	2760	7124	8228	14738	16384	18135	19983	24876	27230	26878	27914	21547	14391	11498	9372	3427	5472	3107	1245	1303	1352	783	498	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
