	Complete	Single	Duplication	Fragents	Missing
Aplysia_californica	88.30%	87.80%	0.50%	1.60%	10.10%
Crassostrea_gigas	90.80%	85.70%	5.10%	0.90%	8.30%
Helobdella_robusta	85.30%	83.80%	1.50%	3.70%	11.00%
Lottia_gigantea	91.30%	90.20%	1.10%	0.90%	7.80%
Capitella_teleta	92.30%	87.60%	4.70%	1.10%	6.60%
Biomphalaria_glabrata	84.30%	82.70%	1.60%	4.80%	10.90%
Adineta_vaga	86.00%	21.90%	64.10%	1.30%	12.70%
Mytilus_galloprovincialis	5.50%	5.00%	0.50%	6.40%	88.10%
Lingula_anatina	90.20%	70.20%	20.00%	0.90%	8.90%
Octopus_bimaculoides	85.80%	85.30%	0.50%	3.40%	10.80%
Conus_tribblei	35.80%	34.50%	1.30%	41.90%	22.30%
Mytilus_galloprovincialis	15.40%	13.00%	2.40%	30.50%	54.10%
Hydroides_elegans	79.90%	53.00%	26.90%	8.80%	11.30%
Crassostrea_virginica	90.70%	88.10%	2.60%	0.80%	8.50%
Radix_auricularia	88.90%	87.90%	1.00%	1.30%	9.80%
Bathymodiolus_platifrons	89.30%	88.00%	1.30%	2.20%	8.50%
Modiolus_philippinarum	85.20%	82.70%	2.50%	4.90%	9.90%
Mizuhopecten_yessoensis	89.80%	87.80%	2.00%	1.20%	9.00%
Pinctada_martensii	83.70%	74.50%	9.20%	3.10%	13.20%
Phoronis_australis	91.90%	89.40%	2.50%	1.30%	6.80%
Notospermus_geniculatus	91.20%	63.00%	28.20%	0.90%	7.90%
Brachionus_calyciflorus	86.30%	83.60%	2.70%	2.10%	11.60%
Eisenia_fetida	17.80%	16.50%	1.30%	13.90%	68.30%
Colubraria_reticulata	64.10%	47.90%	16.20%	15.10%	20.80%
Lymnaea_stagnalis	75.40%	73.80%	1.60%	12.00%	12.60%
Amynthas_corticis	1.80%	1.60%	0.20%	4.90%	93.30%
Amynthas_corticis	14.20%	13.10%	1.10%	26.70%	59.10%
Adineta_vaga	84.10%	67.80%	16.30%	1.30%	14.60%
Adineta_vaga	63.50%	51.80%	11.70%	18.70%	17.80%
Rotaria_macrura	84.80%	70.00%	14.80%	1.40%	13.80%
Rotaria_macrura	81.70%	69.20%	12.50%	3.40%	14.90%
Rotaria_magnacalcarata	59.20%	51.90%	7.30%	16.10%	24.70%
Adineta_ricciae	80.80%	30.20%	50.60%	3.60%	15.60%
Rotaria_magnacalcarata	86.00%	70.30%	15.70%	1.10%	12.90%
Adineta_ricciae	84.30%	24.30%	60.00%	2.20%	13.50%
Lamellibrachia	92.50%	91.30%	1.20%	2.50%	5.00%
