OG0001811|DMEL|Drosophila_melanogaster_DME|NP_001163710.1	PTHR11960:SF28	EIF4E-HOMOLOGOUS PROTEIN, ISOFORM B	3.2e-60	204.2	18-237
OG0002146|DMEL|Drosophila_melanogaster_DME|NP_001259132.1	PTHR21502:SF4	RILP-LIKE PROTEIN HOMOLOG	5.5e-129	431.4	4-446
OG0003027|HSAP|Homo_sapiens_HSA|NP_001138809.1	PTHR13844:SF15	E3 UBIQUITIN-PROTEIN LIGASE MDM2	7e-211	702.0	2-443
OG0000075|DMEL|Drosophila_melanogaster_DME|NP_001097987.1	PTHR18952:SF137	CAIX-RELATED	5.5e-123	410.0	4-290
OG0003665|HSAP|Homo_sapiens_HSA|NP_001334931.1	PTHR37476	FAMILY NOT NAMED	0	1799.6	11-1178
OG0000591|HSAP|Homo_sapiens_HSA|NP_001073935.1	PTHR24410:SF12	BTB/POZ DOMAIN-CONTAINING PROTEIN 17	2e-284	943.5	1-478
OG0000644|HSAP|Homo_sapiens_HSA|NP_001019628.3	PTHR23138:SF127	RANBP2-LIKE AND GRIP DOMAIN-CONTAINING PROTEIN 1-RELATED	0	3522.3	15-1625
OG0000948|HSAP|Homo_sapiens_HSA|NP_001290362.1	PTHR10288:SF99	FAR UPSTREAM ELEMENT-BINDING PROTEIN 1	0	1201.8	78-654
OG0001092|LLUY|Lamellibrachia_luymsi_proteins_LLU|FUN_017472-T1	PTHR11753:SF19	AP-1 COMPLEX SUBUNIT SIGMA-2	4e-86	286.9	2-155
OG0008927|LLUY|Lamellibrachia_luymsi_proteins_LLU|FUN_039966-T1	PTHR14274	FAMILY NOT NAMED	1.7e-28	99.0	15-99
OG0001073|HSAP|Homo_sapiens_HSA|NP_055521.1	PTHR15481:SF5	SQUAMOUS CELL CARCINOMA ANTIGEN RECOGNIZED BY T-CELLS 3	0	1512.4	203-963
OG0003918|LLUY|Lamellibrachia_luymsi_proteins_LLU|FUN_034819-T1	PTHR11758:SF16	RIBOSOMAL PROTEIN S15A	3.7e-75	250.8	84-239
OG0000170|HSAP|Homo_sapiens_HSA|NP_001011885.1	PTHR45774:SF1	BTB/POZ DOMAIN-CONTAINING PROTEIN 1	3.3e-226	752.2	1-354
OG0001142|DMEL|Drosophila_melanogaster_DME|NP_001261923.1	PTHR45762:SF5	ZINC-FINGER PROTEIN AT 72D, ISOFORM B	1.3e-177	593.3	3-628
OG0000678|HSAP|Homo_sapiens_HSA|NP_001305645.1	PTHR47195	FAMILY NOT NAMED	0	1241.3	40-567
OG0000492|HSAP|Homo_sapiens_HSA|NP_001004318.2	PTHR45867:SF3	ACID PHOSPHATASE TYPE 7	1.1e-201	670.9	12-431
