CTE|ELT86964.1	K05030
CTE|ELT86966.1	K15362
CTE|ELT86968.1	K02183
CTE|ELT86969.1	K22790
CTE|ELT86973.1	K10956
CTE|ELT86974.1	K17776
CTE|ELT86977.1	K09666
CTE|ELT86980.1	K10611
CTE|ELT86981.1	K05762
CTE|ELT86985.1	K10624
CTE|ELT86986.1	K10624
CTE|ELT86988.1	K11600
CTE|ELT86989.1	K02366
CTE|ELT86990.1	K20173
CTE|ELT87001.1	K13912
CTE|ELT87004.1	K16061
CTE|ELT87007.1	K21392
CTE|ELT87011.1	K00759
CTE|ELT87012.1	K01469
CTE|ELT87016.1	K10443
CTE|ELT87019.1	K05610
CTE|ELT87029.1	K00522
CTE|ELT87031.1	K14308
CTE|ELT87032.1	K02963
CTE|ELT87039.1	K15728
CTE|ELT87040.1	K05687
CTE|ELT87053.1	K14831
CTE|ELT87058.1	K04144
CTE|ELT87063.1	K08132
CTE|ELT87066.1	K00699
CTE|ELT87067.1	K16526
CTE|ELT87068.1	K01148
CTE|ELT87073.1	K20520
CTE|ELT87074.1	K22611
CTE|ELT87075.1	K00355
CTE|ELT87076.1	K08385
CTE|ELT87080.1	K00327
CTE|ELT87086.1	K20405
CTE|ELT87087.1	K01315
CTE|ELT87095.1	K00753
CTE|ELT87098.1	K10408
CTE|ELT87100.1	K14709
CTE|ELT87101.1	K13348
CTE|ELT87105.1	K19024
CTE|ELT87120.1	K07934
CTE|ELT87121.1	K08104
CTE|ELT87122.1	K05929
CTE|ELT87125.1	K05929
CTE|ELT87126.1	K10444
CTE|ELT87137.1	K02561
CTE|ELT87139.1	K02156
CTE|ELT87140.1	K14445
CTE|ELT87151.1	K18808
CTE|ELT87154.1	K00710
CTE|ELT87155.1	K03217
CTE|ELT87157.1	K12607
CTE|ELT87159.1	K06236
CTE|ELT87164.1	K05313
CTE|ELT87166.1	K09668
CTE|ELT87167.1	K09668
CTE|ELT87168.1	K09668
CTE|ELT87169.1	K01158
CTE|ELT87172.1	K04348
CTE|ELT87173.1	K14035
CTE|ELT87174.1	K04392
CTE|ELT87177.1	K01025
CTE|ELT87182.1	K04539
CTE|ELT87189.1	K13867
CTE|ELT87190.1	K03544
CTE|ELT87191.1	K12615
CTE|ELT87192.1	K16459
CTE|ELT87193.1	K08958
CTE|ELT87198.1	K01934
CTE|ELT87200.1	K05312
CTE|ELT87201.1	K10582
CTE|ELT87202.1	K09228
CTE|ELT87207.1	K09708
CTE|ELT87208.1	K01283
CTE|ELT87214.1	K04447
CTE|ELT87216.1	K08654
CTE|ELT87218.1	K08654
CTE|ELT87219.1	K17414
CTE|ELT87220.1	K20477
CTE|ELT87222.1	K17409
CTE|ELT87230.1	K08378
CTE|ELT87232.1	K04988
CTE|ELT87237.1	K12667
CTE|ELT87239.1	K00763
CTE|ELT87242.1	K10133
CTE|ELT87243.1	K00889
CTE|ELT87244.1	K10283
CTE|ELT87246.1	K00718
CTE|ELT87256.1	K22075
CTE|ELT87258.1	K05925
CTE|ELT87260.1	K22069
CTE|ELT87264.1	K00967
CTE|ELT87266.1	K09517
CTE|ELT87270.1	K00255
CTE|ELT87273.1	K07851
CTE|ELT87274.1	K22037
CTE|ELT87275.1	K22037
CTE|ELT87276.1	K02266
CTE|ELT87284.1	K09228
CTE|ELT87287.1	K09228
CTE|ELT87288.1	K09228
CTE|ELT87289.1	K01769
CTE|ELT87290.1	K04142
CTE|ELT87291.1	K20463
CTE|ELT87292.1	K07968
CTE|ELT87300.1	K14616
CTE|ELT87302.1	K09552
CTE|ELT87303.1	K00731
CTE|ELT87306.1	K14947
CTE|ELT87307.1	K13355
CTE|ELT87309.1	K18172
CTE|ELT87310.1	K11163
CTE|ELT87311.1	K12194
CTE|ELT87312.1	K11438
CTE|ELT87314.1	K12384
CTE|ELT87315.1	K09228
CTE|ELT87317.1	K05840
CTE|ELT87319.1	K03349
CTE|ELT87320.1	K15335
CTE|ELT87324.1	K19952
CTE|ELT87325.1	K11841
CTE|ELT87327.1	K00721
CTE|ELT87329.1	K06971
CTE|ELT87331.1	K06626
CTE|ELT87333.1	K14765
CTE|ELT87335.1	K10661
CTE|ELT87336.1	K21797
CTE|ELT87338.1	K05658
CTE|ELT87339.1	K13289
CTE|ELT87342.1	K05305
CTE|ELT87343.1	K10251
CTE|ELT87345.1	K15522
CTE|ELT87346.1	K07847
CTE|ELT87349.1	K07847
CTE|ELT87365.1	K06233
CTE|ELT87366.1	K01315
CTE|ELT87369.1	K05694
CTE|ELT87371.1	K21912
CTE|ELT87373.1	K06560
CTE|ELT87374.1	K12654
CTE|ELT87375.1	K04710
CTE|ELT87377.1	K02901
CTE|ELT87384.1	K14778
CTE|ELT87392.1	K02210
CTE|ELT87395.1	K09067
CTE|ELT87396.1	K20471
CTE|ELT87405.1	K07305
CTE|ELT87410.1	K17197
CTE|ELT87411.1	K17879
CTE|ELT87414.1	K06825
CTE|ELT87418.1	K16599
CTE|ELT87428.1	K18655
CTE|ELT87431.1	K19348
CTE|ELT87433.1	K12040
CTE|ELT87435.1	K22746
CTE|ELT87439.1	K16061
CTE|ELT87448.1	K00826
CTE|ELT87450.1	K09269
CTE|ELT87458.1	K10643
CTE|ELT87464.1	K04150
CTE|ELT87466.1	K01769
CTE|ELT87470.1	K01025
CTE|ELT87482.1	K09452
CTE|ELT87485.1	K10104
CTE|ELT87486.1	K00710
CTE|ELT87487.1	K08045
CTE|ELT87490.1	K11253
CTE|ELT87491.1	K11251
CTE|ELT87492.1	K11253
CTE|ELT87493.1	K11254
CTE|ELT87494.1	K00710
CTE|ELT87495.1	K04267
CTE|ELT87496.1	K12897
CTE|ELT87498.1	K07910
