Sequence ID	Panther ID
OG0000012_DMEL_Drosophila_melanogaster_DME_NP_001036396.2	PTHR23050
OG0000012_HSAP_Homo_sapiens_HSA_NP_001017440.1	PTHR46311
OG0000012_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_000808-T1	PTHR46212
OG0000015_DMEL_Drosophila_melanogaster_DME_NP_001163393.2	PTHR24258
OG0000015_HSAP_Homo_sapiens_HSA_NP_001138422.1	PTHR19331
OG0000015_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_014194-T1	PTHR19331
OG0000017_DMEL_Drosophila_melanogaster_DME_NP_001014484.2	PTHR11616
OG0000017_HSAP_Homo_sapiens_HSA_NP_001003841.1	PTHR11616
OG0000017_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_001171-T1	PTHR11616
OG0000024_DMEL_Drosophila_melanogaster_DME_NP_001097669.2	PTHR18945
OG0000024_HSAP_Homo_sapiens_HSA_NP_000070.1	PTHR18945
OG0000024_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_003251-T1	PTHR18945
OG0000029_DMEL_Drosophila_melanogaster_DME_NP_001014727.2	PTHR45793
OG0000029_HSAP_Homo_sapiens_HSA_NP_000316.2	PTHR45882
OG0000029_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_001239-T1	PTHR24329
OG0000032_DMEL_Drosophila_melanogaster_DME_NP_001163762.1	PTHR11829
OG0000032_HSAP_Homo_sapiens_HSA_NP_001013757.1	PTHR11829
OG0000032_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_001145-T1	PTHR11829
OG0000036_HSAP_Homo_sapiens_HSA_NP_000482.3	PTHR15427
OG0000036_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_004086-T1	PTHR22923
OG0000037_DMEL_Drosophila_melanogaster_DME_NP_001097858.1	PTHR23110
OG0000037_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_000294-T1	PTHR47160
OG0000040_HSAP_Homo_sapiens_HSA_NP_001007241.2	PTHR14002
OG0000040_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_002038-T1	PTHR14949
OG0000043_DMEL_Drosophila_melanogaster_DME_NP_001014514.1	PTHR19325
OG0000043_HSAP_Homo_sapiens_HSA_NP_000033.2	PTHR19325
OG0000043_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_001463-T1	PTHR19325
OG0000044_DMEL_Drosophila_melanogaster_DME_NP_001036532.1	PTHR11640
OG0000044_HSAP_Homo_sapiens_HSA_NP_001172028.1	PTHR46958
OG0000044_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_000466-T1	PTHR11640
OG0000046_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_004464-T1	PTHR33395
OG0000050_DMEL_Drosophila_melanogaster_DME_NP_001188832.1	PTHR10024
OG0000050_HSAP_Homo_sapiens_HSA_NP_001129277.1	PTHR10024
OG0000050_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_001802-T1	PTHR10024
OG0000058_DMEL_Drosophila_melanogaster_DME_NP_001287510.1	PTHR45645
OG0000058_HSAP_Homo_sapiens_HSA_NP_001190.1	PTHR45645
OG0000058_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_000607-T1	PTHR45645
OG0000062_DMEL_Drosophila_melanogaster_DME_NP_001014521.2	PTHR46730
OG0000062_HSAP_Homo_sapiens_HSA_NP_001070248.1	PTHR10877
OG0000062_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_000748-T1	PTHR10877
OG0000072_DMEL_Drosophila_melanogaster_DME_NP_001259270.1	PTHR24320
OG0000072_HSAP_Homo_sapiens_HSA_NP_001139443.1	PTHR43157
OG0000072_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_004205-T1	PTHR24320
OG0000075_DMEL_Drosophila_melanogaster_DME_NP_001097987.1	PTHR18952
OG0000075_HSAP_Homo_sapiens_HSA_NP_000058.1	PTHR18952
OG0000075_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_001672-T1	PTHR18952
OG0000077_HSAP_Homo_sapiens_HSA_NP_001106995.1	PTHR14453
OG0000077_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_000517-T1	PTHR14453
OG0000078_DMEL_Drosophila_melanogaster_DME_NP_001245996.1	PTHR11785
OG0000078_HSAP_Homo_sapiens_HSA_NP_001070253.1	PTHR11785
OG0000078_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_000138-T1	PTHR11785
OG0000081_DMEL_Drosophila_melanogaster_DME_NP_001036356.1	PTHR24012
OG0000081_HSAP_Homo_sapiens_HSA_NP_001020247.1	PTHR24012
OG0000081_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_028554-T1	PTHR24012
OG0000082_HSAP_Homo_sapiens_HSA_NP_000292.1	PTHR24261
OG0000082_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_006363-T1	PTHR24261
OG0000093_DMEL_Drosophila_melanogaster_DME_NP_001014671.1	PTHR15241
OG0000093_HSAP_Homo_sapiens_HSA_NP_001003810.1	PTHR15241
OG0000093_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_008620-T1	PTHR15241
OG0000095_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_003856-T1	PTHR46641
OG0000100_DMEL_Drosophila_melanogaster_DME_NP_001261534.1	PTHR24034
OG0000100_HSAP_Homo_sapiens_HSA_NP_000352.1	PTHR24036
OG0000100_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_000468-T1	PTHR24034
OG0000103_DMEL_Drosophila_melanogaster_DME_NP_001261040.1	PTHR11571
OG0000103_HSAP_Homo_sapiens_HSA_NP_000837.3	PTHR11571
OG0000103_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_028357-T1	PTHR11571
OG0000106_DMEL_Drosophila_melanogaster_DME_NP_001259179.1	PTHR24291
OG0000106_HSAP_Homo_sapiens_HSA_NP_000769.2	PTHR24291
OG0000106_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_028096-T1	PTHR24291
OG0000109_DMEL_Drosophila_melanogaster_DME_NP_001096966.2	PTHR24372
OG0000109_HSAP_Homo_sapiens_HSA_NP_001159530.1	PTHR24372
OG0000109_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_000718-T1	PTHR24372
OG0000120_DMEL_Drosophila_melanogaster_DME_NP_511080.2	PTHR10131
OG0000120_HSAP_Homo_sapiens_HSA_NP_001029082.1	PTHR10131
OG0000120_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_005776-T1	PTHR10131
OG0000125_DMEL_Drosophila_melanogaster_DME_NP_001097346.1	PTHR37739
OG0000125_HSAP_Homo_sapiens_HSA_NP_001099036.1	PTHR24115
